model,num_heads,config,n_seeds,parameters_mean,parameters_std,epochs_completed_mean,epochs_completed_std,validation_token_accuracy_mean,validation_token_accuracy_std,validation_sequence_accuracy_mean,validation_sequence_accuracy_std,test_token_accuracy_mean,test_token_accuracy_std,test_sequence_accuracy_mean,test_sequence_accuracy_std,generalization_token_accuracy_mean,generalization_token_accuracy_std,generalization_sequence_accuracy_mean,generalization_sequence_accuracy_std,training_seconds_mean,training_seconds_std
lstm,,LSTM,3,540704.0,0.0,20.0,0.0,0.8174090149609833,0.02099670892534924,0.5376666666666666,0.03917056718166501,0.8130524558294856,0.01870485329965941,0.524,0.03634556369077253,0.25283642451326,0.00952390619121306,0.0,0.0,340.8008362666672,9.204936898717557
transformer,1,Transformer (1 head),3,675360.0,0.0,20.0,0.0,0.5791241116755468,0.008425992956422592,0.33066666666666666,0.03257811126098831,0.5747231105687701,0.009433313501998497,0.31633333333333336,0.036363901514184824,0.06130731426746496,0.003909041479760294,0.0,0.0,629.1041342333338,24.943923073998047
transformer,2,Transformer (2 heads),3,675360.0,0.0,20.0,0.0,0.6905766176751889,0.03293677210962351,0.41733333333333333,0.053910419524738774,0.6819782307752957,0.05267145408155398,0.4146666666666667,0.07035860525432076,0.0645861369374952,0.0058212551293356585,0.0,0.0,723.0797889666659,62.04496213632526
transformer,4,Transformer (4 heads),3,675360.0,0.0,20.0,0.0,0.711435302670179,0.01045018750007074,0.44733333333333336,0.04455707949735183,0.7045957535147959,0.025545684413856518,0.4346666666666667,0.04822171018673365,0.06774517557697333,0.0012969087062558735,0.0,0.0,678.960798466666,32.68748714237555
transformer,8,Transformer (8 heads),3,675360.0,0.0,20.0,0.0,0.7873495982175185,0.026719160541912357,0.4766666666666666,0.013613718571108081,0.7834295994757934,0.016282555217639293,0.48,0.0522589705218157,0.0786660255401001,0.0008594968094715092,0.0,0.0,716.4502930333329,15.66831655529075
